original_ref,journal_full,volume,page,year,pmid,status
CPB38:774,Chemical and Pharmaceutical Bulletin,38.0,774.0,,,NOT_FOUND
CPB38:790,Chemical and Pharmaceutical Bulletin,38.0,790.0,,,NOT_FOUND
CPB38:945,Chemical and Pharmaceutical Bulletin,38.0,945.0,,,NOT_FOUND
CPB39:1157,Chemical and Pharmaceutical Bulletin,39.0,1157.0,,,NOT_FOUND
CPB39:1185,Chemical and Pharmaceutical Bulletin,39.0,1185.0,,,NOT_FOUND
CPB39:1238,Chemical and Pharmaceutical Bulletin,39.0,1238.0,,,NOT_FOUND
CPB39:2956,Chemical and Pharmaceutical Bulletin,39.0,2956.0,,,NOT_FOUND
CPB39:3276,Chemical and Pharmaceutical Bulletin,39.0,3276.0,,,NOT_FOUND
CPB39:805,Chemical and Pharmaceutical Bulletin,39.0,805.0,,,NOT_FOUND
CPB40:1196,Chemical and Pharmaceutical Bulletin,40.0,1196.0,,,NOT_FOUND
CPB40:2720,Chemical and Pharmaceutical Bulletin,40.0,2720.0,,,NOT_FOUND
CPB40:396,Chemical and Pharmaceutical Bulletin,40.0,396.0,,,NOT_FOUND
CPB41:1309,Chemical and Pharmaceutical Bulletin,41.0,1309.0,,,NOT_FOUND
CPB41:1469 X15636180,Chemical and Pharmaceutical Bulletin,41.0,1469.0,,,NOT_FOUND
CPB41:1469 X15636180,,,,,15636180.0,RESOLVED
CPB41:1604,Chemical and Pharmaceutical Bulletin,41.0,1604.0,,,NOT_FOUND
CPB42:265,Chemical and Pharmaceutical Bulletin,42.0,265.0,,,NOT_FOUND
CPB43:1385,Chemical and Pharmaceutical Bulletin,43.0,1385.0,,,NOT_FOUND
CPB43:1558,Chemical and Pharmaceutical Bulletin,43.0,1558.0,,,NOT_FOUND
CPB43:347,Chemical and Pharmaceutical Bulletin,43.0,347.0,,,NOT_FOUND
CPB43:920,Chemical and Pharmaceutical Bulletin,43.0,920.0,,,NOT_FOUND
CPB44:1908,Chemical and Pharmaceutical Bulletin,44.0,1908.0,,,NOT_FOUND
CPB45:1306,Chemical and Pharmaceutical Bulletin,45.0,1306.0,,,NOT_FOUND
CPB45:1498,Chemical and Pharmaceutical Bulletin,45.0,1498.0,,,NOT_FOUND
CPB45:564,Chemical and Pharmaceutical Bulletin,45.0,564.0,,,NOT_FOUND
CPB45:564 CPB45:1306,Chemical and Pharmaceutical Bulletin,45.0,564.0,,,NOT_FOUND
CPB45:564 CPB45:1306,Chemical and Pharmaceutical Bulletin,45.0,1306.0,,,NOT_FOUND
CPB46:113,Chemical and Pharmaceutical Bulletin,46.0,113.0,,,NOT_FOUND
CPB46:113 PM56(3):257,Chemical and Pharmaceutical Bulletin,46.0,113.0,,,NOT_FOUND
CPB46:113 PM56(3):257,Planta Medica,56.0,257.0,,,NOT_FOUND
CPB47:340,Chemical and Pharmaceutical Bulletin,47.0,340.0,,,NOT_FOUND
CPB47:340 PHY1:145,Chemical and Pharmaceutical Bulletin,47.0,340.0,,,NOT_FOUND
CPB47:340 PHY1:145,,1.0,145.0,,,UNKNOWN_JOURNAL
CPJ46:438,,46.0,438.0,,,UNKNOWN_JOURNAL
CPP39:1382,,39.0,1382.0,,,UNKNOWN_JOURNAL
CPT59:62,,59.0,62.0,,,UNKNOWN_JOURNAL
CR48:5941,Chemical Reviews,48.0,5941.0,,,NOT_FOUND
CR48:5941 JAF50:3718,Chemical Reviews,48.0,5941.0,,,NOT_FOUND
CR48:5941 JAF50:3718,Journal of Agricultural and Food Chemistry,50.0,3718.0,,12059149,RESOLVED
CR48:5941 X7586157,Chemical Reviews,48.0,5941.0,,,NOT_FOUND
CR48:5941 X7586157,,,,,7586157.0,RESOLVED
CR49:1110,Chemical Reviews,49.0,1110.0,,,NOT_FOUND
CR49:1110 CR48:297,Chemical Reviews,49.0,1110.0,,,NOT_FOUND
CR49:1110 CR48:297,Chemical Reviews,48.0,297.0,,,NOT_FOUND
CR49:2052 JMF2:167 MR297:293,Chemical Reviews,49.0,2052.0,,,NOT_FOUND
CR49:2052 JMF2:167 MR297:293,Journal of Medicinal Food,2.0,167.0,,19281371,RESOLVED
CR49:2052 JMF2:167 MR297:293,,297.0,293.0,,,UNKNOWN_JOURNAL
CR49:5111,Chemical Reviews,49.0,5111.0,,,NOT_FOUND
CR50:3311,Chemical Reviews,50.0,3311.0,,,NOT_FOUND
CR50:6723,Chemical Reviews,50.0,6723.0,,,NOT_FOUND
CR51:2922,Chemical Reviews,51.0,2922.0,,,NOT_FOUND
CR51:2922 JAT48:211,Chemical Reviews,51.0,2922.0,,,NOT_FOUND
CR51:2922 JAT48:211,,48.0,211.0,,,UNKNOWN_JOURNAL
CR54:701,Chemical Reviews,54.0,701.0,,,NOT_FOUND
CR55:259,Chemical Reviews,55.0,259.0,,,NOT_FOUND
CR57:420,Chemical Reviews,57.0,420.0,,,NOT_FOUND
CR57:620,Chemical Reviews,57.0,620.0,,,NOT_FOUND
CR58:2550,Chemical Reviews,58.0,2550.0,,,NOT_FOUND
CRC,,,,,,BOOK
CRC HH2,,,,,,BOOK
CRC HH2,,,,,,BOOK
CRC JBH,,,,,,BOOK
CRC JBH,,,,,,UNKNOWN_CODE
CRC JNM7:35,,,,,,BOOK
CRC JNM7:35,,7.0,35.0,,,UNKNOWN_JOURNAL
CRC LAF,,,,,,BOOK
CRC LAF,Life Sciences,,,,,JOURNAL_ONLY
CRC OMM,,,,,,BOOK
CRC OMM,,,,,,UNKNOWN_CODE
CRC ZEB,,,,,,BOOK
CRC ZEB,,,,,,BOOK
CRC(FNS),,,,,,BOOK
CRH(FEB):13.1997,,,,,,PARSE_ERROR
CRH7:61,,7.0,61.0,,,UNKNOWN_JOURNAL
CRH7:62,,7.0,62.0,,,UNKNOWN_JOURNAL
CRT6:813,,6.0,813.0,,,UNKNOWN_JOURNAL
CRT6:813 JOC58:5025,,6.0,813.0,,,UNKNOWN_JOURNAL
CRT6:813 JOC58:5025,Journal of Organic Chemistry,58.0,5025.0,,,NOT_FOUND
CRX,,,,,,UNKNOWN_CODE
CRx,,,,,,UNKNOWN_CODE
CRx HDN,,,,,,UNKNOWN_CODE
CRx HDN,,,,,,UNKNOWN_CODE
CTR63:1929,,63.0,1929.0,,,UNKNOWN_JOURNAL
CWW,,,,,,UNKNOWN_CODE
CWW 450,,,,,,UNKNOWN_CODE
CWW 450,"Russell, G. B., Phytochemical resources for crop protection, N. Z. J. Technol., 2, 1986, 127-134.",,,,,DUKE_REF_ID
CWW MPI,,,,,,UNKNOWN_CODE
CWW MPI,,,,,,UNKNOWN_CODE
CYT25:197,,25.0,197.0,,,UNKNOWN_JOURNAL
Celebes,,,,,,PARSE_ERROR
Chi,,,,,,UNKNOWN_CODE
DAA,,,,,,UNKNOWN_CODE
DAI56(4):2001,,56.0,2001.0,,,UNKNOWN_JOURNAL
DAS,,,,,,UNKNOWN_CODE
DAS NP6:1,,,,,,UNKNOWN_CODE
DAS NP6:1,Natural Product Reports,6.0,1.0,,2652000,RESOLVED
DAS PAM,,,,,,UNKNOWN_CODE
DAS PAM,,,,,,UNKNOWN_CODE
DAS PIL,,,,,,UNKNOWN_CODE
DAS PIL,,,,,,UNKNOWN_CODE
DAS SYN-X,,,,,,UNKNOWN_CODE
DAS SYN-X,,,,,,PARSE_ERROR
DAS WER,,,,,,UNKNOWN_CODE
DAS WER,,,,,,UNKNOWN_CODE
DEC25:65,,25.0,65.0,,,UNKNOWN_JOURNAL
DEP MAR,,,,,,UNKNOWN_CODE
DEP MAR,,,,,,UNKNOWN_CODE
DFN:153,,,153.0,,,UNKNOWN_JOURNAL
DFN:154,,,154.0,,,UNKNOWN_JOURNAL
DFN:154 411,,,154.0,,,UNKNOWN_JOURNAL
DFN:154 411,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
DFN:154 PAM,,,154.0,,,UNKNOWN_JOURNAL
DFN:154 PAM,,,,,,UNKNOWN_CODE
DFN:154 PMP24:107 RWG141,,,154.0,,,UNKNOWN_JOURNAL
DFN:154 PMP24:107 RWG141,Phytomedicine,24.0,107.0,,,NOT_FOUND
DFN:154 PMP24:107 RWG141,,,,,,PARSE_ERROR
DFN:157,,,157.0,,,UNKNOWN_JOURNAL
DFN:158,,,158.0,,,UNKNOWN_JOURNAL
DFN:159,,,159.0,,,UNKNOWN_JOURNAL
DFN:160,,,160.0,,,UNKNOWN_JOURNAL
DFN:161,,,161.0,,,UNKNOWN_JOURNAL
DFN:162,,,162.0,,,UNKNOWN_JOURNAL
DFN:99,,,99.0,,,UNKNOWN_JOURNAL
DIA,,,,,,UNKNOWN_CODE
DIA HG23:26,,,,,,UNKNOWN_CODE
DIA HG23:26,HerbalGram,23.0,26.0,,,NOT_FOUND
DIA PIL,,,,,,UNKNOWN_CODE
DIA PIL,,,,,,UNKNOWN_CODE
DIA PM56(3):255,,,,,,UNKNOWN_CODE
DIA PM56(3):255,Planta Medica,56.0,255.0,,,NOT_FOUND
DIA X12828463 X16335816,,,,,,UNKNOWN_CODE
DIA X12828463 X16335816,,,,,12828463.0,RESOLVED
DIA X12828463 X16335816,,,,,16335816.0,RESOLVED
DIA X19190894,,,,,,UNKNOWN_CODE
DIA X19190894,,,,,19190894.0,RESOLVED
DMD19:620,,19.0,620.0,,,UNKNOWN_JOURNAL
DND23:676,,23.0,676.0,,,UNKNOWN_JOURNAL
DOC,,,,,,UNKNOWN_CODE
DPA:205,,,205.0,,,UNKNOWN_JOURNAL
DRS LEH,,,,,,UNKNOWN_CODE
DRS LEH,,,,,,UNKNOWN_CODE
De,,,,,,UNKNOWN_CODE
Du,,,,,,UNKNOWN_CODE
Duk,,,,,,UNKNOWN_CODE
"Duke,",,,,,,UNKNOWN_CODE
"Duke,1",,,,,,PARSE_ERROR
"Duke,19",,,,,,PARSE_ERROR
"Duke,1972",,,,,,PARSE_ERROR
E,,,,,,UNKNOWN_CODE
EAHD1:153,,1.0,153.0,,,UNKNOWN_JOURNAL
EAHD1:153 AEH,,1.0,153.0,,,UNKNOWN_JOURNAL
EAHD1:153 AEH,,,,,,UNKNOWN_CODE
EB24:259,Economic Botany,24.0,259.0,,,NOT_FOUND
EB25:239,Economic Botany,25.0,239.0,,,NOT_FOUND
EB25:420,Economic Botany,25.0,420.0,,,NOT_FOUND
EB27:269,Economic Botany,27.0,269.0,,,NOT_FOUND
EB30:103,Economic Botany,30.0,103.0,,,NOT_FOUND
EB32:280,Economic Botany,32.0,280.0,,,NOT_FOUND
EB33:262,Economic Botany,33.0,262.0,,,NOT_FOUND
EB44:68.1990,Economic Botany,44.0,68.0,,,NOT_FOUND
EB45:405,Economic Botany,45.0,405.0,,,NOT_FOUND
EB48:111,Economic Botany,48.0,111.0,,,NOT_FOUND
EB50:122,Economic Botany,50.0,122.0,,,NOT_FOUND
EEA69:231,,69.0,231.0,,,UNKNOWN_JOURNAL
EEB26:65.1986,,26.0,65.0,,,UNKNOWN_JOURNAL
EJC49S:145 JN129:1395S,,,,,,PARSE_ERROR
EJC49S:145 JN129:1395S,,,,,,PARSE_ERROR
EJC49S:S145,,,,,,PARSE_ERROR
EJC50:43 411,,50.0,43.0,,,UNKNOWN_JOURNAL
EJC50:43 411,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
EJC50:43 BRU,,50.0,43.0,,,UNKNOWN_JOURNAL
EJC50:43 BRU,,,,,,UNKNOWN_CODE
EJM'97(JAN20):37,,,,,,PARSE_ERROR
EJN238:227,,238.0,227.0,,,UNKNOWN_JOURNAL
EJP,European Journal of Pharmacology,,,,,JOURNAL_ONLY
EJP198:211,European Journal of Pharmacology,198.0,211.0,,1830846,RESOLVED
EJP237:39,European Journal of Pharmacology,237.0,39.0,,8359208,RESOLVED
EJP251:91,European Journal of Pharmacology,251.0,91.0,,8137874,RESOLVED
EJP291:201,European Journal of Pharmacology,291.0,201.0,,8566171,RESOLVED
EJP331:253,European Journal of Pharmacology,331.0,253.0,,9274987,RESOLVED
EJP346:103,European Journal of Pharmacology,346.0,103.0,,9617759,RESOLVED
EJP459:255,European Journal of Pharmacology,459.0,255.0,,12524154,RESOLVED
EJP45:389,European Journal of Pharmacology,45.0,389.0,,336383,RESOLVED
EK20:204 JHC20:204,,20.0,204.0,,,UNKNOWN_JOURNAL
EK20:204 JHC20:204,,20.0,204.0,,,UNKNOWN_JOURNAL
EMM18:28,,18.0,28.0,,,UNKNOWN_JOURNAL
EMP102(S-9):65,,,,,,PARSE_ERROR
EMP1:119,Economic and Medicinal Plant Research,1.0,119.0,,,NOT_FOUND
EMP1:120,Economic and Medicinal Plant Research,1.0,120.0,,,NOT_FOUND
EMP1:121,Economic and Medicinal Plant Research,1.0,121.0,,,NOT_FOUND
EMP1:122,Economic and Medicinal Plant Research,1.0,122.0,,,NOT_FOUND
EMP1:123,Economic and Medicinal Plant Research,1.0,123.0,,,NOT_FOUND
EMP1:124,Economic and Medicinal Plant Research,1.0,124.0,,,NOT_FOUND
EMP1:124 JAF53:3882,Economic and Medicinal Plant Research,1.0,124.0,,,NOT_FOUND
EMP1:124 JAF53:3882,Journal of Agricultural and Food Chemistry,53.0,3882.0,,15884812,RESOLVED
EMP1:125,Economic and Medicinal Plant Research,1.0,125.0,,,NOT_FOUND
EMP1:125 411,Economic and Medicinal Plant Research,1.0,125.0,,,NOT_FOUND
EMP1:125 411,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
EMP1:126,Economic and Medicinal Plant Research,1.0,126.0,,,NOT_FOUND
EMP1:128,Economic and Medicinal Plant Research,1.0,128.0,,,NOT_FOUND
EMP1:130,Economic and Medicinal Plant Research,1.0,130.0,,,NOT_FOUND
EMP1:143,Economic and Medicinal Plant Research,1.0,143.0,,,NOT_FOUND
EMP1:145,Economic and Medicinal Plant Research,1.0,145.0,,,NOT_FOUND
EMP1:21,Economic and Medicinal Plant Research,1.0,21.0,,,NOT_FOUND
EMP1:53,Economic and Medicinal Plant Research,1.0,53.0,,,NOT_FOUND
EMP1;21,,,,,,PARSE_ERROR
EMP5:193,Economic and Medicinal Plant Research,5.0,193.0,,,NOT_FOUND
EMP5:194,Economic and Medicinal Plant Research,5.0,194.0,,,NOT_FOUND
EMP5:195,Economic and Medicinal Plant Research,5.0,195.0,,,NOT_FOUND
EMP5:195 LAF,Economic and Medicinal Plant Research,5.0,195.0,,,NOT_FOUND
EMP5:195 LAF,Life Sciences,,,,,JOURNAL_ONLY
EMP5:196,Economic and Medicinal Plant Research,5.0,196.0,,,NOT_FOUND
EMP5:197,Economic and Medicinal Plant Research,5.0,197.0,,,NOT_FOUND
EMP5:197 JBH,Economic and Medicinal Plant Research,5.0,197.0,,,NOT_FOUND
EMP5:197 JBH,,,,,,UNKNOWN_CODE
EMP5:198,Economic and Medicinal Plant Research,5.0,198.0,,,NOT_FOUND
EMP5:198 JE26:76,Economic and Medicinal Plant Research,5.0,198.0,,,NOT_FOUND
EMP5:198 JE26:76,Journal of Ethnopharmacology,26.0,76.0,,,NOT_FOUND
EMP5:199,Economic and Medicinal Plant Research,5.0,199.0,,,NOT_FOUND
EMP5:199 438,Economic and Medicinal Plant Research,5.0,199.0,,,NOT_FOUND
EMP5:199 438,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4,",,,,,DUKE_REF_ID
EMP5:200,Economic and Medicinal Plant Research,5.0,200.0,,,NOT_FOUND
EMP5:200 V&D,Economic and Medicinal Plant Research,5.0,200.0,,,NOT_FOUND
EMP5:200 V&D,,,,,,PARSE_ERROR
EMP5:201,Economic and Medicinal Plant Research,5.0,201.0,,,NOT_FOUND
EMP5:202,Economic and Medicinal Plant Research,5.0,202.0,,,NOT_FOUND
EMP5:203,Economic and Medicinal Plant Research,5.0,203.0,,,NOT_FOUND
EMP5:204,Economic and Medicinal Plant Research,5.0,204.0,,,NOT_FOUND
EMP5:206,Economic and Medicinal Plant Research,5.0,206.0,,,NOT_FOUND
EMP5:207,Economic and Medicinal Plant Research,5.0,207.0,,,NOT_FOUND
EMP5:209,Economic and Medicinal Plant Research,5.0,209.0,,,NOT_FOUND
EMP5:209 PH2 AAC35:2463,Economic and Medicinal Plant Research,5.0,209.0,,,NOT_FOUND
EMP5:209 PH2 AAC35:2463,,,,,,BOOK
EMP5:209 PH2 AAC35:2463,Antimicrobial Agents and Chemotherapy,35.0,2463.0,,1810179,RESOLVED
EMP5:211,Economic and Medicinal Plant Research,5.0,211.0,,,NOT_FOUND
EMP5:212,Economic and Medicinal Plant Research,5.0,212.0,,,NOT_FOUND
EMP5:213,Economic and Medicinal Plant Research,5.0,213.0,,,NOT_FOUND
EMP5:214,Economic and Medicinal Plant Research,5.0,214.0,,,NOT_FOUND
EMP5:215,Economic and Medicinal Plant Research,5.0,215.0,,,NOT_FOUND
EMP5:217,Economic and Medicinal Plant Research,5.0,217.0,,,NOT_FOUND
EMP5:218,Economic and Medicinal Plant Research,5.0,218.0,,,NOT_FOUND
EMP5:219,Economic and Medicinal Plant Research,5.0,219.0,,,NOT_FOUND
EMP5:219 HG23:16,Economic and Medicinal Plant Research,5.0,219.0,,,NOT_FOUND
EMP5:219 HG23:16,HerbalGram,23.0,16.0,,,NOT_FOUND
EMP5:220,Economic and Medicinal Plant Research,5.0,220.0,,,NOT_FOUND
EMP5:221,Economic and Medicinal Plant Research,5.0,221.0,,,NOT_FOUND
EMP5:222,Economic and Medicinal Plant Research,5.0,222.0,,,NOT_FOUND
EMP5:223,Economic and Medicinal Plant Research,5.0,223.0,,,NOT_FOUND
EMP5:223 JBH,Economic and Medicinal Plant Research,5.0,223.0,,,NOT_FOUND
EMP5:223 JBH,,,,,,UNKNOWN_CODE
EMP5:224,Economic and Medicinal Plant Research,5.0,224.0,,,NOT_FOUND
EMP5:225,Economic and Medicinal Plant Research,5.0,225.0,,,NOT_FOUND
EMP5:227,Economic and Medicinal Plant Research,5.0,227.0,,,NOT_FOUND
EMP5:253,Economic and Medicinal Plant Research,5.0,253.0,,,NOT_FOUND
EMP5:253 AVR14:323,Economic and Medicinal Plant Research,5.0,253.0,,,NOT_FOUND
EMP5:253 AVR14:323,,14.0,323.0,,,UNKNOWN_JOURNAL
EMP5:291,Economic and Medicinal Plant Research,5.0,291.0,,,NOT_FOUND
EMP5:296,Economic and Medicinal Plant Research,5.0,296.0,,,NOT_FOUND
EMP5:297,Economic and Medicinal Plant Research,5.0,297.0,,,NOT_FOUND
EMP5:304,Economic and Medicinal Plant Research,5.0,304.0,,,NOT_FOUND
EMP5:305,Economic and Medicinal Plant Research,5.0,305.0,,,NOT_FOUND
EMP5:332,Economic and Medicinal Plant Research,5.0,332.0,,,NOT_FOUND
EMP5:332 411,Economic and Medicinal Plant Research,5.0,332.0,,,NOT_FOUND
EMP5:332 411,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
EMP5:333,Economic and Medicinal Plant Research,5.0,333.0,,,NOT_FOUND
EMP5:334,Economic and Medicinal Plant Research,5.0,334.0,,,NOT_FOUND
EMP5:334 411,Economic and Medicinal Plant Research,5.0,334.0,,,NOT_FOUND
EMP5:334 411,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
EMP5:336,Economic and Medicinal Plant Research,5.0,336.0,,,NOT_FOUND
EMP5:336 CPB38:559,Economic and Medicinal Plant Research,5.0,336.0,,,NOT_FOUND
EMP5:336 CPB38:559,Chemical and Pharmaceutical Bulletin,38.0,559.0,,,NOT_FOUND
EMP5:343,Economic and Medicinal Plant Research,5.0,343.0,,,NOT_FOUND
EMP5:343 AEH161,Economic and Medicinal Plant Research,5.0,343.0,,,NOT_FOUND
EMP5:343 AEH161,,,,,,PARSE_ERROR
EMP5:344,Economic and Medicinal Plant Research,5.0,344.0,,,NOT_FOUND
EMP5:363,Economic and Medicinal Plant Research,5.0,363.0,,,NOT_FOUND
EMP5:364,Economic and Medicinal Plant Research,5.0,364.0,,,NOT_FOUND
EMP5:365,Economic and Medicinal Plant Research,5.0,365.0,,,NOT_FOUND
EMP5:366,Economic and Medicinal Plant Research,5.0,366.0,,,NOT_FOUND
EMP6:155,Economic and Medicinal Plant Research,6.0,155.0,,,NOT_FOUND
EMP6:157,Economic and Medicinal Plant Research,6.0,157.0,,,NOT_FOUND
EMP6:158,Economic and Medicinal Plant Research,6.0,158.0,,,NOT_FOUND
EMP6:160,Economic and Medicinal Plant Research,6.0,160.0,,,NOT_FOUND
EMP6:160 JBH,Economic and Medicinal Plant Research,6.0,160.0,,,NOT_FOUND
EMP6:160 JBH,,,,,,UNKNOWN_CODE
EMP6:161,Economic and Medicinal Plant Research,6.0,161.0,,,NOT_FOUND
EMP6:162,Economic and Medicinal Plant Research,6.0,162.0,,,NOT_FOUND
EMP6:164,Economic and Medicinal Plant Research,6.0,164.0,,,NOT_FOUND
EMP6:165,Economic and Medicinal Plant Research,6.0,165.0,,,NOT_FOUND
EMP6:165 WIC,Economic and Medicinal Plant Research,6.0,165.0,,,NOT_FOUND
EMP6:165 WIC,,,,,,UNKNOWN_CODE
EMP6:166,Economic and Medicinal Plant Research,6.0,166.0,,,NOT_FOUND
EMP6:167,Economic and Medicinal Plant Research,6.0,167.0,,,NOT_FOUND
EMP6:168,Economic and Medicinal Plant Research,6.0,168.0,,,NOT_FOUND
EMP6:170,Economic and Medicinal Plant Research,6.0,170.0,,,NOT_FOUND
EMP6:171,Economic and Medicinal Plant Research,6.0,171.0,,,NOT_FOUND
EMP6:189,Economic and Medicinal Plant Research,6.0,189.0,,,NOT_FOUND
EMP6:189 FT63(1):3 WO2,Economic and Medicinal Plant Research,6.0,189.0,,,NOT_FOUND
EMP6:189 FT63(1):3 WO2,Fitoterapia,63.0,3.0,,,NOT_FOUND
EMP6:189 FT63(1):3 WO2,,,,,,PARSE_ERROR
EMP6:189 JBH,Economic and Medicinal Plant Research,6.0,189.0,,,NOT_FOUND
EMP6:189 JBH,,,,,,UNKNOWN_CODE
EMP6:189 JPP42:194,Economic and Medicinal Plant Research,6.0,189.0,,,NOT_FOUND
EMP6:189 JPP42:194,Journal of Pharmacy and Pharmacology,42.0,194.0,,,NOT_FOUND
EMP6:189 PEP,Economic and Medicinal Plant Research,6.0,189.0,,,NOT_FOUND
EMP6:189 PEP,Peptides,,,,,JOURNAL_ONLY
EMP6:189 V&D,Economic and Medicinal Plant Research,6.0,189.0,,,NOT_FOUND
EMP6:189 V&D,,,,,,PARSE_ERROR
EMP6:189 WER,Economic and Medicinal Plant Research,6.0,189.0,,,NOT_FOUND
EMP6:189 WER,,,,,,UNKNOWN_CODE
EMP6:235,Economic and Medicinal Plant Research,6.0,235.0,,,NOT_FOUND
EMP6:235 JAF44:1647,Economic and Medicinal Plant Research,6.0,235.0,,,NOT_FOUND
EMP6:235 JAF44:1647,Journal of Agricultural and Food Chemistry,44.0,1647.0,,,NOT_FOUND
EMP6:235 PMID9025787,Economic and Medicinal Plant Research,6.0,235.0,,,NOT_FOUND
EMP6:235 PMID9025787,,,,,,PARSE_ERROR
EMP6:235 TEA,Economic and Medicinal Plant Research,6.0,235.0,,,NOT_FOUND
EMP6:235 TEA,,,,,,UNKNOWN_CODE
EUR29:1985,,29.0,1985.0,,,UNKNOWN_JOURNAL
EXP30:1326,,30.0,1326.0,,,UNKNOWN_JOURNAL
EXP33:1626,,33.0,1626.0,,,UNKNOWN_JOURNAL
EXP51:63,,51.0,63.0,,,UNKNOWN_JOURNAL
EXP52:564,,52.0,564.0,,,UNKNOWN_JOURNAL
Eb,Economic Botany,,,,,JOURNAL_ONLY
Eb2,,,,,,PARSE_ERROR
Eb20: 104,,,,,,PARSE_ERROR
Eb20: 104,,,,,,DUKE_REF_ID
Eb20: 190,,,,,,PARSE_ERROR
Eb20: 190,,,,,,DUKE_REF_ID
Eb20: 21,,,,,,PARSE_ERROR
Eb20: 21,,,,,,DUKE_REF_ID
Eb20: 22,,,,,,PARSE_ERROR
Eb20: 22,,,,,,DUKE_REF_ID
Eb20: 228,,,,,,PARSE_ERROR
Eb20: 228,,,,,,DUKE_REF_ID
Eb20: 229,,,,,,PARSE_ERROR
Eb20: 229,,,,,,DUKE_REF_ID
Eb20: 23,,,,,,PARSE_ERROR
Eb20: 23,,,,,,DUKE_REF_ID
Eb20: 239,,,,,,PARSE_ERROR
Eb20: 239,,,,,,DUKE_REF_ID
Eb20: 24,,,,,,PARSE_ERROR
Eb20: 24,,,,,,DUKE_REF_ID
Eb20: 272,,,,,,PARSE_ERROR
Eb20: 272,,,,,,DUKE_REF_ID
Eb20: 279,,,,,,PARSE_ERROR
Eb20: 279,,,,,,DUKE_REF_ID
Eb20: 293,,,,,,PARSE_ERROR
Eb20: 293,,,,,,DUKE_REF_ID
Eb20: 299,,,,,,PARSE_ERROR
Eb20: 299,,,,,,DUKE_REF_ID
Eb20: 34,,,,,,PARSE_ERROR
Eb20: 34,,,,,,DUKE_REF_ID
Eb20: 35,,,,,,PARSE_ERROR
Eb20: 35,,,,,,DUKE_REF_ID
Eb20: 368,,,,,,PARSE_ERROR
Eb20: 368,,,,,,DUKE_REF_ID
Eb20: 370,,,,,,PARSE_ERROR
Eb20: 370,,,,,,DUKE_REF_ID
Eb20: 380,,,,,,PARSE_ERROR
Eb20: 380,,,,,,DUKE_REF_ID
Eb20: 403,,,,,,PARSE_ERROR
Eb20: 403,,,,,,DUKE_REF_ID
Eb20: 404,,,,,,PARSE_ERROR
Eb20: 404,,,,,,DUKE_REF_ID
Eb20: 416,,,,,,PARSE_ERROR
Eb20: 416,,,,,,DUKE_REF_ID
Eb20: 96,,,,,,PARSE_ERROR
Eb20: 96,,,,,,DUKE_REF_ID
Eb20: 98,,,,,,PARSE_ERROR
Eb20: 98,,,,,,DUKE_REF_ID
Eb21,,,,,,PARSE_ERROR
Eb21: 000,,,,,,PARSE_ERROR
Eb21: 000,,,,,,DUKE_REF_ID
Eb21: 153,,,,,,PARSE_ERROR
Eb21: 153,,,,,,DUKE_REF_ID
Eb21: 154,,,,,,PARSE_ERROR
Eb21: 154,,,,,,DUKE_REF_ID
Eb21: 189,,,,,,PARSE_ERROR
Eb21: 189,,,,,,DUKE_REF_ID
Eb21: 201,,,,,,PARSE_ERROR
Eb21: 201,,,,,,DUKE_REF_ID
Eb21: 203,,,,,,PARSE_ERROR
Eb21: 203,,,,,,DUKE_REF_ID
Eb21: 204,,,,,,PARSE_ERROR
Eb21: 204,,,,,,DUKE_REF_ID
Eb21: 205,,,,,,PARSE_ERROR
Eb21: 205,,,,,,DUKE_REF_ID
Eb21: 206,,,,,,PARSE_ERROR
Eb21: 206,,,,,,DUKE_REF_ID
Eb21: 207,,,,,,PARSE_ERROR
Eb21: 207,,,,,,DUKE_REF_ID
Eb21: 208,,,,,,PARSE_ERROR
Eb21: 208,,,,,,DUKE_REF_ID
Eb21: 209,,,,,,PARSE_ERROR
